LebwohlLasher6.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.389, Time: 0.761191 s
         12028564 function calls (11355259 primitive calls) in 4.340 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4328    0.005    0.000    0.027    0.000 base.py:352(install_registry)
     4405    0.026    0.000    0.027    0.000 <frozen importlib._bootstrap>:405(parent)
     2785    0.002    0.000    0.026    0.000 module.py:240(_next)
      213    0.000    0.000    0.026    0.000 npytypes.py:444(__init__)
       60    0.001    0.000    0.026    0.000 codegen.py:773(_verify_declare_only_symbols)
      214    0.001    0.000    0.026    0.000 common.py:49(__init__)
    15291    0.007    0.000    0.026    0.000 weakref.py:414(__getitem__)
     1754    0.001    0.000    0.026    0.000 cgutils.py:142(_get_ptr_by_index)
     4561    0.003    0.000    0.026    0.000 interpreter.py:1761(_dispatch)
    84925    0.012    0.000    0.026    0.000 <frozen abc>:117(__instancecheck__)
       59    0.000    0.000    0.026    0.000 untyped_passes.py:118(run_pass)
      531    0.001    0.000    0.026    0.000 postproc.py:46(livemap)
     1658    0.008    0.000    0.025    0.000 inspect.py:2333(_signature_from_function)
        2    0.000    0.000    0.025    0.013 unicode.py:1(<module>)
   195363    0.014    0.000    0.025    0.000 {method 'get' of 'dict' objects}
      213    0.009    0.000    0.025    0.000 artist.py:1521(get_setters)
     1416    0.008    0.000    0.025    0.000 analysis.py:235(compute_cfg_from_blocks)
     9381    0.004    0.000    0.025    0.000 cpu_options.py:16(__repr__)
      178    0.001    0.000    0.025    0.000 base.py:412(declare_function)
      137    0.001    0.000    0.025    0.000 codegen.py:684(_get_module_for_linking)
      531    0.001    0.000    0.025    0.000 analysis.py:60(compute_live_map)
        1    0.000    0.000    0.024    0.024 axes3d.py:1(<module>)
     5304    0.002    0.000    0.024    0.000 __init__.py:173(search)
     2647    0.004    0.000    0.024    0.000 context.py:287(find_matching_getattr_template)
    56696    0.018    0.000    0.024    0.000 event.py:270(on_end)
     4594    0.004    0.000    0.023    0.000 byteflow.py:319(dispatch)
     1062    0.001    0.000    0.023    0.000 analysis.py:71(fix_point)
      981    0.000    0.000    0.023    0.000 context.py:378(incref)
     4077    0.004    0.000    0.023    0.000 builder.py:769(store)
       22    0.000    0.000    0.023    0.001 arrayobj.py:458(_getitem_array_generic)
     8382    0.004    0.000    0.022    0.000 ansitowin32.py:49(isatty)
        2    0.000    0.000    0.022    0.011 builtins.py:1(<module>)
     1206    0.001    0.000    0.022    0.000 misc.py:61(literal)
      114    0.000    0.000    0.022    0.000 __init__.py:225(compile)
       59    0.003    0.000    0.022    0.000 interpreter.py:973(peep_hole_delete_with_exit)
        1    0.000    0.000    0.022    0.022 special.py:1(<module>)
     2789    0.002    0.000    0.022    0.000 models.py:709(getter)
      531    0.010    0.000    0.022    0.000 analysis.py:118(compute_dead_maps)
      227    0.000    0.000    0.021    0.000 inline_closurecall.py:1401(match)
       60    0.001    0.000    0.021    0.000 codegen.py:767(_finalize_dynamic_globals)
       59    0.000    0.000    0.021    0.000 ir.py:1608(dump_to_string)
     3346    0.002    0.000    0.021    0.000 models.py:629(get)
       60    0.001    0.000    0.021    0.000 codegen.py:1032(scan_defined_symbols)
     2541    0.001    0.000    0.021    0.000 context.py:268(core)
       59    0.000    0.000    0.021    0.000 ir.py:1582(dump)
       60    0.001    0.000    0.021    0.000 codegen.py:1013(scan_unresolved_symbols)
381868/374531    0.020    0.000    0.021    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.021    0.005 context.py:1(<module>)
      226    0.002    0.000    0.021    0.000 inline_closurecall.py:1414(_inline_const_arraycall)
      928    0.003    0.000    0.021    0.000 values.py:933(__init__)
      243    0.003    0.000    0.021    0.000 ir.py:1308(dump)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
11139/11110    0.006    0.000    0.021    0.000 context.py:517(can_convert)
       59    0.001    0.000    0.021    0.000 typed_passes.py:614(run_pass)
      531    0.001    0.000    0.021    0.000 transforms.py:353(canonicalize_cfg)
        3    0.000    0.000    0.021    0.007 core.py:1(<module>)
      544    0.000    0.000    0.020    0.000 entrypoints.py:23(init_all)
        3    0.000    0.000    0.020    0.007 dispatcher.py:281(_compilation_chain_init_hook)
      190    0.001    0.000    0.020    0.000 arrayobj.py:96(shape)
        1    0.000    0.000    0.020    0.020 hashing.py:1(<module>)
       45    0.000    0.000    0.020    0.000 pythonapi.py:1332(unserialize)
