LebwohlLasher9.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.273, Time: 0.754862 s
         1054548 function calls (1039762 primitive calls) in 1.471 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    0.001    0.000 colors.py:1099(<dictcomp>)
  266/157    0.000    0.000    0.001    0.000 core.py:1857(name)
      850    0.000    0.000    0.001    0.000 colors.py:213(_is_nth_color)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
  215/110    0.000    0.000    0.001    0.000 core.py:1832(default_name)
      169    0.000    0.000    0.001    0.000 colors.py:307(_to_rgba_no_colorcycle)
       37    0.000    0.000    0.001    0.000 typing.py:658(Union)
      450    0.000    0.000    0.001    0.000 font_manager.py:923(_json_decode)
       88    0.000    0.000    0.001    0.000 typing.py:1353(__init__)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
    10902    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      562    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     3077    0.001    0.000    0.001    0.000 inspect.py:3019(<genexpr>)
     6757    0.001    0.000    0.001    0.000 enum.py:1091(__new__)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(column_stack)
      637    0.001    0.000    0.001    0.000 inspect.py:167(get_annotations)
     25/6    0.000    0.000    0.001    0.000 core.py:3816(streamline)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
       51    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     4843    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
   256/18    0.000    0.000    0.001    0.000 ast.py:414(visit)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
     35/5    0.000    0.000    0.001    0.000 core.py:3675(streamline)
    33/15    0.000    0.000    0.001    0.000 core.py:4373(parseImpl)
   256/18    0.000    0.000    0.001    0.000 ast.py:420(generic_visit)
        1    0.000    0.000    0.001    0.001 _afm.py:1(<module>)
        2    0.000    0.000    0.001    0.000 dataclasses.py:1379(make_dataclass)
        1    0.000    0.000    0.001    0.001 core.py:5798(<listcomp>)
      222    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(concatenate)
       62    0.000    0.000    0.001    0.000 core.py:1352(__add__)
