LebwohlLasher4.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.362, Time: 0.547680 s
         9254410 function calls (8756850 primitive calls) in 4.383 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24875    0.015    0.000    0.024    0.000 _utils.py:24(deduplicate)
        1    0.000    0.000    0.024    0.024 __init__.py:1020(entry_points)
        1    0.000    0.000    0.023    0.023 __init__.py:473(load)
        1    0.000    0.000    0.023    0.023 ir_utils.py:1(<module>)
      372    0.000    0.000    0.023    0.000 __init__.py:1037(<genexpr>)
    33784    0.005    0.000    0.023    0.000 templates.py:1300(new_registrations)
      423    0.001    0.000    0.023    0.000 postproc.py:46(livemap)
       48    0.001    0.000    0.023    0.000 codegen.py:773(_verify_declare_only_symbols)
     2371    0.001    0.000    0.023    0.000 module.py:240(_next)
        3    0.000    0.000    0.023    0.008 core.py:1(<module>)
      188    0.000    0.000    0.022    0.000 module.py:167(link_in)
     3463    0.002    0.000    0.022    0.000 byteflow.py:1595(append)
     1321    0.001    0.000    0.022    0.000 base.py:42(find)
       95    0.000    0.000    0.022    0.000 arrayobj.py:76(_make_refs)
      114    0.000    0.000    0.022    0.000 __init__.py:225(compile)
15193/13570    0.005    0.000    0.022    0.000 contextlib.py:141(__exit__)
       47    0.000    0.000    0.022    0.000 lowering.py:357(init)
      423    0.001    0.000    0.022    0.000 analysis.py:60(compute_live_map)
     5463    0.004    0.000    0.022    0.000 instructions.py:660(__init__)
       47    0.002    0.000    0.022    0.000 lowering.py:373(_find_singly_assigned_variable)
      213    0.007    0.000    0.022    0.000 artist.py:1521(get_setters)
     4073    0.007    0.000    0.022    0.000 context.py:542(_rate_arguments)
3982/3953    0.003    0.000    0.022    0.000 abstract.py:61(__call__)
       25    0.000    0.000    0.022    0.001 lowering.py:811(lower_getitem)
     5304    0.002    0.000    0.022    0.000 __init__.py:173(search)
     1128    0.007    0.000    0.021    0.000 analysis.py:235(compute_cfg_from_blocks)
    51223    0.016    0.000    0.021    0.000 event.py:270(on_end)
       47    0.000    0.000    0.021    0.000 typeinfer.py:1036(build_constraint)
      105    0.001    0.000    0.021    0.000 codegen.py:684(_get_module_for_linking)
        1    0.000    0.000    0.021    0.021 _pickle.py:1(<module>)
        1    0.000    0.000    0.021    0.021 hashing.py:1(<module>)
      702    0.000    0.000    0.021    0.000 context.py:378(incref)
    11224    0.006    0.000    0.021    0.000 weakref.py:414(__getitem__)
      846    0.001    0.000    0.021    0.000 analysis.py:71(fix_point)
     1222    0.001    0.000    0.021    0.000 typeinfer.py:1384(constrain_statement)
     3463    0.003    0.000    0.021    0.000 interpreter.py:1761(_dispatch)
     3384    0.004    0.000    0.021    0.000 base.py:352(install_registry)
     1496    0.007    0.000    0.021    0.000 inspect.py:2333(_signature_from_function)
        9    0.000    0.000    0.021    0.002 _base.py:734(__init_subclass__)
     1026    0.001    0.000    0.020    0.000 typeinfer.py:1453(typeof_assign)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
       47    0.000    0.000    0.020    0.000 untyped_passes.py:118(run_pass)
      438    0.001    0.000    0.020    0.000 base.py:49(_find)
6159/5759    0.019    0.000    0.020    0.000 byteflow.py:1837(_flatten_inst_regs)
      117    0.000    0.000    0.019    0.000 base.py:412(declare_function)
     1939    0.003    0.000    0.019    0.000 context.py:287(find_matching_getattr_template)
    58641    0.008    0.000    0.019    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.019    0.019 rules.py:1(<module>)
     7473    0.003    0.000    0.019    0.000 cpu_options.py:16(__repr__)
      994    0.002    0.000    0.019    0.000 builder.py:297(if_then)
       30    0.005    0.000    0.019    0.001 __init__.py:835(_rc_params_in_file)
      574    0.000    0.000    0.019    0.000 typeinfer.py:1473(resolve_value_type)
      423    0.001    0.000    0.019    0.000 transforms.py:353(canonicalize_cfg)
       99    0.000    0.000    0.019    0.000 byteflow.py:429(op_LOAD_GLOBAL)
   143481    0.010    0.000    0.019    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.019    0.019 randomimpl.py:1(<module>)
      261    0.000    0.000    0.018    0.000 _parser.py:972(parse)
        2    0.000    0.000    0.018    0.009 extending.py:1(<module>)
       47    0.000    0.000    0.018    0.000 ir.py:1608(dump_to_string)
       48    0.001    0.000    0.018    0.000 codegen.py:767(_finalize_dynamic_globals)
      766    0.003    0.000    0.018    0.000 values.py:933(__init__)
       47    0.000    0.000    0.018    0.000 ir.py:1582(dump)
       48    0.000    0.000    0.018    0.000 codegen.py:1032(scan_defined_symbols)
      423    0.001    0.000    0.018    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
      196    0.005    0.000    0.018    0.000 ir.py:1308(dump)
     2479    0.001    0.000    0.018    0.000 models.py:709(getter)
      423    0.008    0.000    0.018    0.000 analysis.py:118(compute_dead_maps)
       48    0.001    0.000    0.018    0.000 codegen.py:1013(scan_unresolved_symbols)
      187    0.000    0.000    0.018    0.000 ir_print.py:11(match)
      628    0.000    0.000    0.018    0.000 lowering.py:1561(incref)
  592/261    0.001    0.000    0.018    0.000 _parser.py:449(_parse_sub)
     2991    0.002    0.000    0.017    0.000 models.py:629(get)
      238    0.000    0.000    0.017    0.000 extending.py:207(decorate)
      639    0.001    0.000    0.017    0.000 targetconfig.py:190(__eq__)
15619/15125    0.014    0.000    0.017    0.000 {built-in method __new__ of type object at 0x104efd5f0}
       50    0.017    0.000    0.017    0.000 LebwohlLasher4.py:216(MC_step)
  697/272    0.007    0.000    0.017    0.000 _parser.py:509(_parse)
        1    0.000    0.000    0.017    0.017 _laplacian.py:1(<module>)
      121    0.000    0.000    0.017    0.000 base.py:1097(get_abi_sizeof)
     2201    0.001    0.000    0.017    0.000 lowering.py:1422(_alloca_var)
326965/320927    0.016    0.000    0.017    0.000 {built-in method builtins.len}
