LebwohlLasher5.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.348, Time: 0.554908 s
         9357738 function calls (8858687 primitive calls) in 3.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.074    0.002 typed_passes.py:224(run_pass)
    22765    0.012    0.000    0.072    0.000 event.py:390(start_event)
       48    0.000    0.000    0.067    0.001 untyped_passes.py:192(run_pass)
    19654    0.005    0.000    0.066    0.000 base.py:1243(enter_fn)
    17095    0.004    0.000    0.066    0.000 ir.py:598(list_vars)
310768/310383    0.035    0.000    0.065    0.000 {built-in method builtins.getattr}
       13    0.000    0.000    0.064    0.005 arrayobj.py:4040(_empty_nd_impl)
  476/231    0.000    0.000    0.061    0.000 context.py:153(refresh)
        1    0.000    0.000    0.061    0.061 arraymath.py:1(<module>)
       48    0.000    0.000    0.059    0.001 untyped_passes.py:224(run_pass)
     5475    0.003    0.000    0.058    0.000 module.py:220(__next__)
        3    0.000    0.000    0.058    0.019 registry.py:1(<module>)
        1    0.000    0.000    0.057    0.057 arraymath.py:33(_check_blas)
        1    0.000    0.000    0.057    0.057 linalg.py:55(ensure_blas)
        1    0.000    0.000    0.057    0.057 dispatcher.py:1(<module>)
        5    0.000    0.000    0.056    0.011 arrayobj.py:4232(codegen)
  778/777    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      152    0.000    0.000    0.055    0.000 codegen.py:719(add_linking_library)
15457/13797    0.004    0.000    0.055    0.000 contextlib.py:132(__enter__)
    17080    0.014    0.000    0.055    0.000 instructions.py:13(__init__)
       48    0.000    0.000    0.054    0.001 ssa.py:26(reconstruct_ssa)
     3523    0.002    0.000    0.054    0.000 targetconfig.py:196(values)
        1    0.000    0.000    0.054    0.054 rcsetup.py:1(<module>)
       48    0.000    0.000    0.054    0.001 ssa.py:47(_run_ssa)
    58482    0.046    0.000    0.054    0.000 pprint.py:102(_safe_tuple)
     6793    0.034    0.000    0.053    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.053    0.053 compiler.py:1(<module>)
     3523    0.010    0.000    0.052    0.000 targetconfig.py:199(<dictcomp>)
     3006    0.007    0.000    0.052    0.000 errors.py:301(_markup)
        1    0.000    0.000    0.052    0.052 contour.py:1(<module>)
     1272    0.001    0.000    0.051    0.000 errors.py:508(__init__)
    22961    0.009    0.000    0.051    0.000 values.py:537(__init__)
      428    0.000    0.000    0.051    0.000 nrt.py:19(initialize)
        1    0.000    0.000    0.051    0.051 nrtdynmod.py:205(compile_nrt_functions)
        1    0.000    0.000    0.049    0.049 backend_bases.py:1(<module>)
     6764    0.003    0.000    0.049    0.000 inspect.py:848(getdoc)
      812    0.001    0.000    0.048    0.000 npydecl.py:201(generic)
      838    0.004    0.000    0.047    0.000 npydecl.py:97(generic)
    82/81    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
    82/81    0.046    0.001    0.046    0.001 {built-in method _imp.create_dynamic}
     2101    0.003    0.000    0.046    0.000 context.py:360(_call_incref_decref)
      797    0.003    0.000    0.046    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     1463    0.002    0.000    0.045    0.000 context.py:374(resolve_value_type)
        1    0.000    0.000    0.044    0.044 text.py:1(<module>)
      691    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       48    0.003    0.000    0.043    0.001 byteflow.py:80(run)
     2410    0.001    0.000    0.043    0.000 errors.py:316(errmsg)
    23820    0.009    0.000    0.042    0.000 values.py:557(_set_name)
4284/2079    0.005    0.000    0.042    0.000 context.py:428(install_registry)
      432    0.001    0.000    0.042    0.000 postproc.py:52(deadmaps)
      691    0.041    0.000    0.041    0.000 {built-in method marshal.loads}
     8994    0.004    0.000    0.040    0.000 __init__.py:272(_compile)
       49    0.000    0.000    0.040    0.001 codegen.py:1400(_add_module)
      305    0.001    0.000    0.040    0.000 module.py:11(parse_assembly)
       49    0.000    0.000    0.040    0.001 codegen.py:1094(add_module)
      793    0.000    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
  476/231    0.001    0.000    0.039    0.000 context.py:415(_load_builtins)
  794/793    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
4701/2101    0.005    0.000    0.039    0.000 context.py:343(get_meminfos)
     3006    0.001    0.000    0.039    0.000 errors.py:224(__init__)
     1477    0.002    0.000    0.039    0.000 typeof.py:27(typeof)
       49    0.000    0.000    0.039    0.001 codegen.py:1087(_load_defined_symbols)
        1    0.000    0.000    0.038    0.038 _axes.py:1(<module>)
  593/486    0.001    0.000    0.038    0.000 base.py:526(get_function)
       48    0.000    0.000    0.038    0.001 ssa.py:145(_find_defs_violators)
     3006    0.003    0.000    0.038    0.000 initialise.py:37(init)
       48    0.001    0.000    0.037    0.001 inline_closurecall.py:80(run)
65346/64948    0.014    0.000    0.037    0.000 {method 'join' of 'str' objects}
      627    0.000    0.000    0.037    0.000 templates.py:481(apply)
      635    0.001    0.000    0.037    0.000 templates.py:272(_select)
       98    0.001    0.000    0.036    0.000 codegen.py:1091(<setcomp>)
3251/2911    0.002    0.000    0.036    0.000 ir_utils.py:1520(guard)
      635    0.006    0.000    0.036    0.000 context.py:592(resolve_overload)
     3445    0.003    0.000    0.035    0.000 value.py:143(name)
     1199    0.002    0.000    0.035    0.000 lowering.py:1511(delvar)
     6012    0.004    0.000    0.035    0.000 initialise.py:111(wrap_stream)
       70    0.000    0.000    0.035    0.000 pprint.py:470(_pprint_default_dict)
      728    0.001    0.000    0.035    0.000 passmanagers.py:742(run)
      261    0.001    0.000    0.035    0.000 _compiler.py:738(compile)
      431    0.000    0.000    0.034    0.000 entrypoints.py:23(init_all)
        3    0.000    0.000    0.034    0.011 dispatcher.py:281(_compilation_chain_init_hook)
        2    0.000    0.000    0.034    0.017 collections.py:1(<module>)
      213    0.000    0.000    0.034    0.000 artist.py:1426(__init__)
      216    0.000    0.000    0.034    0.000 ir.py:1527(infer_constant)
  338/216    0.000    0.000    0.034    0.000 consts.py:24(infer_constant)
        1    0.000    0.000    0.034    0.034 __init__.py:1020(entry_points)
        1    0.000    0.000    0.034    0.034 __init__.py:473(load)
      213    0.005    0.000    0.034    0.000 artist.py:1446(get_aliases)
      372    0.000    0.000    0.034    0.000 __init__.py:1037(<genexpr>)
    23820    0.010    0.000    0.034    0.000 _utils.py:16(register)
